Country,Country code,State,State code,State type,Year,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Aggregate fuel,Clean,MW,17.44,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Aggregate fuel,Fossil,MW,40.05,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Aggregate fuel,Gas and Other Fossil,MW,40.05,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",MW,5.25,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Aggregate fuel,Renewables,MW,17.44,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Aggregate fuel,Wind and Solar,MW,12.19,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Fuel,Bioenergy,MW,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Fuel,Coal,MW,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Fuel,Gas,MW,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Fuel,Hydro,MW,5.25,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Fuel,Nuclear,MW,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Fuel,Other Fossil,MW,40.05,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Fuel,Other Renewables,MW,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Fuel,Solar,MW,12.19,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Capacity,Fuel,Wind,MW,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Clean,%,19.69,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Fossil,%,80.31,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,80.31,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,6.84,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Renewables,%,19.69,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Wind and Solar,%,12.85,,
